  y-span,      Chord,  Ai,       Cl,       PCd,    ICd,     CmGeom,CmAirf@chord/4,XTrtop,XTrBot,   XCP,    BM
  -10.6817,   1.2638, -1.329, 0.053807, 0.000000, 0.001248,-0.159990,-0.019615, 0.0000, 0.0000, 0.5655, 0.0000
  -10.6088,   1.2790, -1.056, 0.089264, 0.000000, 0.001645,-0.228643,-0.029591, 0.0000, 0.0000, 0.5848, 0.0113
  -10.4633,   1.3093, -0.849, 0.120733, 0.000000, 0.001789,-0.281102,-0.035023, 0.0000, 0.0000, 0.5598, 0.1474
  -10.2464,   1.3545, -0.674, 0.145009, 0.000000, 0.001706,-0.324498,-0.040007, 0.0000, 0.0000, 0.5415, 0.7391
   -9.9595,   1.4143, -0.537, 0.162535, 0.000000, 0.001525,-0.346185,-0.043265, 0.0000, 0.0000, 0.5280, 2.4101
   -9.6046,   1.4883, -0.438, 0.174587, 0.000000, 0.001335,-0.349026,-0.045169, 0.0000, 0.0000, 0.5182, 6.1160
   -9.1840,   1.5759, -0.370, 0.182485, 0.000000, 0.001180,-0.338514,-0.046244, 0.0000, 0.0000, 0.5116,13.1584
   -8.7007,   1.6767, -0.326, 0.187310, 0.000000, 0.001067,-0.319546,-0.046847, 0.0000, 0.0000, 0.5076,25.1820
   -8.1580,   1.7898, -0.300, 0.189883, 0.000000, 0.000994,-0.295849,-0.047183, 0.0000, 0.0000, 0.5056,44.1559
   -7.5596,   1.9145, -0.286, 0.190795, 0.000000, 0.000953,-0.270045,-0.047364, 0.0000, 0.0000, 0.5053,72.3400
   -6.9095,   2.0500, -0.282, 0.190465, 0.000000, 0.000937,-0.243896,-0.047450, 0.0000, 0.0000, 0.5063,112.2324
   -6.2122,   2.1953, -0.285, 0.189173, 0.000000, 0.000941,-0.218512,-0.047475, 0.0000, 0.0000, 0.5084,166.4985
   -5.4725,   2.3495, -0.294, 0.187105, 0.000000, 0.000959,-0.194557,-0.047459, 0.0000, 0.0000, 0.5115,237.8792
   -4.6954,   2.5114, -0.307, 0.184376, 0.000000, 0.000987,-0.172386,-0.047413, 0.0000, 0.0000, 0.5156,329.0793
   -3.8862,   2.6801, -0.323, 0.181045, 0.000000, 0.001022,-0.152157,-0.047350, 0.0000, 0.0000, 0.5206,442.6396
   -3.0505,   2.8542, -0.343, 0.177133, 0.000000, 0.001062,-0.133921,-0.047288, 0.0000, 0.0000, 0.5269,580.7943
   -2.1939,   3.0328, -0.366, 0.172638, 0.000000, 0.001105,-0.117678,-0.047268, 0.0000, 0.0000, 0.5348,745.3229
   -1.3224,   3.2144, -0.396, 0.167551, 0.000000, 0.001158,-0.103477,-0.047394, 0.0000, 0.0000, 0.5451,937.4018
   -0.4418,   3.3979, -0.460, 0.161706, 0.000000, 0.001304,-0.091606,-0.047907, 0.0000, 0.0000, 0.5589,1157.4697
    0.4418,   3.3979, -0.460, 0.161706, 0.000000, 0.001304,-0.091606,-0.047907, 0.0000, 0.0000, 0.5589,1157.4697
    1.3224,   3.2144, -0.396, 0.167551, 0.000000, 0.001158,-0.103477,-0.047394, 0.0000, 0.0000, 0.5451,937.4018
    2.1939,   3.0328, -0.366, 0.172638, 0.000000, 0.001105,-0.117678,-0.047268, 0.0000, 0.0000, 0.5348,745.3229
    3.0505,   2.8542, -0.343, 0.177133, 0.000000, 0.001062,-0.133921,-0.047288, 0.0000, 0.0000, 0.5269,580.7943
    3.8862,   2.6801, -0.323, 0.181045, 0.000000, 0.001022,-0.152157,-0.047350, 0.0000, 0.0000, 0.5206,442.6396
    4.6954,   2.5114, -0.307, 0.184376, 0.000000, 0.000987,-0.172386,-0.047413, 0.0000, 0.0000, 0.5156,329.0793
    5.4725,   2.3495, -0.294, 0.187105, 0.000000, 0.000959,-0.194557,-0.047459, 0.0000, 0.0000, 0.5115,237.8792
    6.2122,   2.1953, -0.285, 0.189173, 0.000000, 0.000941,-0.218512,-0.047475, 0.0000, 0.0000, 0.5084,166.4985
    6.9095,   2.0500, -0.282, 0.190465, 0.000000, 0.000937,-0.243896,-0.047450, 0.0000, 0.0000, 0.5063,112.2324
    7.5596,   1.9145, -0.286, 0.190795, 0.000000, 0.000953,-0.270045,-0.047364, 0.0000, 0.0000, 0.5053,72.3400
    8.1580,   1.7898, -0.300, 0.189883, 0.000000, 0.000994,-0.295849,-0.047183, 0.0000, 0.0000, 0.5056,44.1559
    8.7007,   1.6767, -0.326, 0.187310, 0.000000, 0.001067,-0.319546,-0.046847, 0.0000, 0.0000, 0.5076,25.1820
    9.1840,   1.5759, -0.370, 0.182485, 0.000000, 0.001180,-0.338514,-0.046244, 0.0000, 0.0000, 0.5116,13.1584
    9.6046,   1.4883, -0.438, 0.174587, 0.000000, 0.001335,-0.349026,-0.045169, 0.0000, 0.0000, 0.5182, 6.1160
    9.9595,   1.4143, -0.537, 0.162535, 0.000000, 0.001525,-0.346185,-0.043265, 0.0000, 0.0000, 0.5280, 2.4101
   10.2464,   1.3545, -0.674, 0.145009, 0.000000, 0.001706,-0.324498,-0.040007, 0.0000, 0.0000, 0.5415, 0.7391
   10.4633,   1.3093, -0.849, 0.120733, 0.000000, 0.001789,-0.281102,-0.035023, 0.0000, 0.0000, 0.5598, 0.1474
   10.6088,   1.2790, -1.056, 0.089264, 0.000000, 0.001645,-0.228643,-0.029591, 0.0000, 0.0000, 0.5848, 0.0113
   10.6817,   1.2638, -1.329, 0.053807, 0.000000, 0.001248,-0.159990,-0.019615, 0.0000, 0.0000, 0.5655, 0.0000
