  y-span,     Chord,    Ai,      Cl,      PCd,      ICd,     CmGeom,  CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
  -10.6817,   1.2638, -5.669, 0.286633, 0.000000, 0.028442,-0.764483, 0.006679, 0.0000, 0.0000, 0.2261, 0.0000
  -10.6088,   1.2790, -4.614, 0.479743, 0.000000, 0.038689,-1.156341,-0.008209, 0.0000, 0.0000, 0.2617, 0.0604
  -10.4633,   1.3093, -4.012, 0.660433, 0.000000, 0.046285,-1.486247,-0.003092, 0.0000, 0.0000, 0.2494, 0.7905
  -10.2464,   1.3545, -3.467, 0.808405, 0.000000, 0.048930,-1.753679,-0.011225, 0.0000, 0.0000, 0.2589, 4.0061
   -9.9595,   1.4143, -2.973, 0.920837, 0.000000, 0.047753,-1.899510,-0.020636, 0.0000, 0.0000, 0.2675,13.2120
   -9.6046,   1.4883, -2.554, 1.000872, 0.000000, 0.044561,-1.931090,-0.028179, 0.0000, 0.0000, 0.2733,33.8846
   -9.1840,   1.5759, -2.229, 1.054322, 0.000000, 0.040936,-1.875569,-0.033458, 0.0000, 0.0000, 0.2768,73.5789
   -8.7007,   1.6767, -1.998, 1.087323, 0.000000, 0.037819,-1.762074,-0.036904, 0.0000, 0.0000, 0.2790,141.9038
   -8.1580,   1.7898, -1.850, 1.105103, 0.000000, 0.035575,-1.614893,-0.039062, 0.0000, 0.0000, 0.2804,250.3944
   -7.5596,   1.9145, -1.771, 1.111628, 0.000000, 0.034228,-1.451884,-0.040361, 0.0000, 0.0000, 0.2813,412.2882
   -6.9095,   2.0500, -1.745, 1.109703, 0.000000, 0.033648,-1.285180,-0.041092, 0.0000, 0.0000, 0.2821,642.1983
   -6.2122,   2.1953, -1.760, 1.101216, 0.000000, 0.033670,-1.122578,-0.041443, 0.0000, 0.0000, 0.2827,955.6710
   -5.4725,   2.3495, -1.808, 1.087359, 0.000000, 0.034120,-0.968724,-0.041537, 0.0000, 0.0000, 0.2832,1368.6235
   -4.6954,   2.5114, -1.880, 1.068805, 0.000000, 0.034840,-0.826160,-0.041465, 0.0000, 0.0000, 0.2838,1896.6617
   -3.8862,   2.6801, -1.969, 1.045811, 0.000000, 0.035658,-0.696091,-0.041320, 0.0000, 0.0000, 0.2845,2554.2922
   -3.0505,   2.8542, -2.068, 1.018302, 0.000000, 0.036390,-0.578955,-0.041267, 0.0000, 0.0000, 0.2856,3354.0476
   -2.1939,   3.0328, -2.166, 0.985817, 0.000000, 0.036771,-0.474905,-0.041651, 0.0000, 0.0000, 0.2873,4305.5583
   -1.3224,   3.2144, -2.252, 0.947162, 0.000000, 0.036402,-0.384455,-0.043380, 0.0000, 0.0000, 0.2908,5414.5995
   -0.4418,   3.3979, -2.331, 0.893962, 0.000000, 0.033926,-0.309798,-0.049126, 0.0000, 0.0000, 0.2994,6682.1018
    0.4418,   3.3979, -2.331, 0.893962, 0.000000, 0.033926,-0.309798,-0.049126, 0.0000, 0.0000, 0.2994,6682.1018
    1.3224,   3.2144, -2.252, 0.947162, 0.000000, 0.036402,-0.384455,-0.043380, 0.0000, 0.0000, 0.2908,5414.5995
    2.1939,   3.0328, -2.166, 0.985817, 0.000000, 0.036771,-0.474905,-0.041651, 0.0000, 0.0000, 0.2873,4305.5583
    3.0505,   2.8542, -2.068, 1.018302, 0.000000, 0.036390,-0.578955,-0.041267, 0.0000, 0.0000, 0.2856,3354.0476
    3.8862,   2.6801, -1.969, 1.045811, 0.000000, 0.035658,-0.696091,-0.041320, 0.0000, 0.0000, 0.2845,2554.2922
    4.6954,   2.5114, -1.880, 1.068805, 0.000000, 0.034840,-0.826160,-0.041465, 0.0000, 0.0000, 0.2838,1896.6617
    5.4725,   2.3495, -1.808, 1.087359, 0.000000, 0.034120,-0.968724,-0.041537, 0.0000, 0.0000, 0.2832,1368.6235
    6.2122,   2.1953, -1.760, 1.101216, 0.000000, 0.033670,-1.122578,-0.041443, 0.0000, 0.0000, 0.2827,955.6710
    6.9095,   2.0500, -1.745, 1.109703, 0.000000, 0.033648,-1.285180,-0.041092, 0.0000, 0.0000, 0.2821,642.1983
    7.5596,   1.9145, -1.771, 1.111628, 0.000000, 0.034228,-1.451884,-0.040361, 0.0000, 0.0000, 0.2813,412.2882
    8.1580,   1.7898, -1.850, 1.105103, 0.000000, 0.035575,-1.614893,-0.039062, 0.0000, 0.0000, 0.2804,250.3944
    8.7007,   1.6767, -1.998, 1.087323, 0.000000, 0.037819,-1.762074,-0.036904, 0.0000, 0.0000, 0.2790,141.9038
    9.1840,   1.5759, -2.229, 1.054322, 0.000000, 0.040936,-1.875569,-0.033458, 0.0000, 0.0000, 0.2768,73.5789
    9.6046,   1.4883, -2.554, 1.000872, 0.000000, 0.044561,-1.931090,-0.028179, 0.0000, 0.0000, 0.2733,33.8846
    9.9595,   1.4143, -2.973, 0.920837, 0.000000, 0.047753,-1.899510,-0.020636, 0.0000, 0.0000, 0.2675,13.2120
   10.2464,   1.3545, -3.467, 0.808405, 0.000000, 0.048930,-1.753679,-0.011225, 0.0000, 0.0000, 0.2589, 4.0061
   10.4633,   1.3093, -4.012, 0.660433, 0.000000, 0.046285,-1.486247,-0.003092, 0.0000, 0.0000, 0.2494, 0.7905
   10.6088,   1.2790, -4.614, 0.479743, 0.000000, 0.038689,-1.156341,-0.008209, 0.0000, 0.0000, 0.2617, 0.0604
   10.6817,   1.2638, -5.669, 0.286633, 0.000000, 0.028442,-0.764483, 0.006679, 0.0000, 0.0000, 0.2261, 0.0000
